Subplot,TreeID,TreeID_Onsite,Stand,Con_DBH,Con_X,Con_Y,Con_Z,Pad_DBH,Pad_X,Pad_Y,Pad_Z,Pho_DBH,Pho_X,Pho_Y,Pho_Z
4,21,516,Cp,21.2,-70036.27871,-110744.2215,0.859,27.4,-70033.72656,-110743.2188,125.2,23.9,-70032.2931006516,-110740.680806134,125.5
4,22,515,Cp,20.7,-70035.18632,-110743.9814,0.83,23.9,-70032.61719,-110743.0859,125.2,21.9,-70031.2633055685,-110740.412555113,125.5
4,23,513,Cp,12.7,-70035.60121,-110746.3492,0.799,10.5,-70033.38281,-110745.2891,125.4,12.6,-70031.6706062382,-110742.671065795,125.2
4,24,512,Cp,7.1,-70036.49566,-110746.5499,0.791,11.7,-70034.35938,-110745.3906,125.4,7.9,-70032.5858041552,-110742.896613609,125.5
4,25,511,Cp,10.5,-70037.47279,-110746.8092,0.854,13.8,-70035.3125,-110745.4766,125.4,10.3,-70033.4952969076,-110743.12748036,125.4
5,1,695,Nf,7.4,-70040.95961,-110722.7371,-0.162,9.0,-70039.94531,-110722.6953,124.7,9.0,-70044.13281,-110723.6406,124.3
5,2,694,Nf,7.2,-70042.13823,-110721.7525,-0.24,8.6,-70041.32031,-110721.9063,124.3,8.9,-70045.61719,-110722.9063,124.3
5,3,693,Nf,26.7,-70043.48768,-110720.7813,-0.262,26.2,-70042.48438,-110720.9375,124.3,27.0,-70046.85156,-110721.9531,124.2
5,4,2012,Nf,31.7,-70044.64952,-110720.0373,-0.234,29.4,-70043.41406,-110720.0234,124.3,28.9,-70047.85156,-110721.1016,124.0
5,5,2011,Nf,22.1,-70043.28796,-110718.8929,-0.311,21.5,-70042.33594,-110719.0234,124.0,21.7,-70046.82031,-110720.0625,124.2
5,6,699,Nf,7.6,-70042.40776,-110718.2153,-0.38,6.9,-70041.4375,-110718.3672,124.0,9.4,-70045.98438,-110719.3594,124.2
5,7,697,Nf,29.5,-70042.2681,-110718.7945,-0.29,30.4,-70041.28906,-110718.9297,124.0,31.7,-70045.8125,-110719.8984,124.2
5,8,696,Nf,6.4,-70042.93163,-110719.7633,-0.281,6.0,-70041.73438,-110719.7188,124.3,7.7,-70046.20312,-110720.7109,124.2
5,9,698,Nf,11.6,-70041.15396,-110719.3223,-0.357,13.7,-70040.05469,-110719.4375,124.4,13.2,-70044.58594,-110720.3203,124.2
5,10,2009,Nf,31.7,-70042.27845,-110715.1803,-0.498,26.8,-70041.34375,-110715.25,123.9,24.8,-70046.11719,-110716.2891,124.0
5,11,700,Nf,5.2,-70041.10864,-110715.7791,-0.505,7.4,-70040.15625,-110715.9375,124.1,12.7,-70044.85938,-110716.9063,124.0
5,12,701,Nf,5.2,-70039.05804,-110712.844,-0.848,6.9,-70038.07812,-110712.9219,123.9,8.1,-70043.02344,-110713.7578,123.9
5,13,702,Nf,13.0,-70035.51644,-110716.3618,-0.275,17.1,-70034.53125,-110716.3672,124.0,17.8,-70039.28125,-110716.8828,124.1
5,14,703,Nf,23.5,-70035.36221,-110716.1523,-0.309,24.6,-70034.42188,-110716.2188,124.0,29.0,-70039.17969,-110716.7422,124.1
5,15,704,Nf,46.7,-70033.14271,-110715.4089,-0.437,46.5,-70032.10938,-110715.4453,123.9,48.9,-70036.92969,-110715.7813,124.0
5,16,705,Nf,8.8,-70037.37951,-110706.4496,-1.326,10.9,-70036.625,-110706.5078,123.4,10.4,-70041.78906,-110707.375,123.4
5,17,706,Nf,6.5,-70035.22587,-110707.3594,-1.269,7.4,-70034.40625,-110707.3125,123.4,8.6,-70039.58594,-110708.1406,123.4
5,18,707,Nf,16.1,-70032.52602,-110707.4001,-1.192,18.0,-70031.67969,-110707.2578,123.3,16.1,-70036.85156,-110708.0469,123.4
5,19,708,Nf,5.2,-70032.50592,-110709.5766,-0.971,7.4,-70031.63281,-110709.4922,123.7,6.8,-70036.70312,-110710.2188,123.8
5,20,709,Nf,17.4,-70029.2537,-110707.7567,-1.258,19.4,-70028.34375,-110707.375,123.0,17.6,-70033.52344,-110708.1094,123.3
5,21,710,Nf,6.9,-70029.31463,-110707.9515,-1.191,8.5,-70028.44531,-110707.6563,123.0,9.3,-70033.59375,-110708.375,123.3
5,22,711,Nf,10.4,-70029.01684,-110708.2703,-1.197,12.0,-70028.17969,-110707.9453,123.0,12.8,-70033.32031,-110708.6484,123.7
5,23,712,Nf,28.5,-70028.27993,-110707.9252,-1.168,29.5,-70027.44531,-110707.5938,123.0,30.8,-70032.59375,-110708.2969,123.3
5,24,713,Nf,63.5,-70024.34373,-110709.775,-1.192,65.2,-70023.46875,-110709.1563,123.0,66.8,-70028.63281,-110709.6953,123.4
5,25,714,Nf,9.5,-70027.52345,-110712.3912,-0.686,13.1,-70026.64062,-110711.9688,123.4,11.9,-70031.67969,-110712.6094,123.9
5,26,715,Nf,16.2,-70028.2498,-110712.5299,-0.485,14.7,-70027.21875,-110712.1875,123.8,16.0,-70032.25,-110712.8672,123.9
5,27,716,Nf,29.6,-70029.3431,-110713.2551,-0.839,32.2,-70028.17969,-110712.9453,123.8,32.1,-70033.20312,-110713.6953,123.9
5,28,718,Nf,8.2,-70031.57984,-110715.9362,-0.57,10.0,-70030.4375,-110715.6641,124.1,9.5,-70035.25781,-110716.4609,124.0
5,29,717,Nf,55.6,-70027.05072,-110716.0953,-0.387,56.1,-70025.92188,-110715.7188,124.0,58.7,-70030.80469,-110716.3125,124.1
5,30,720,Nf,5.4,-70027.51094,-110716.4684,-0.648,6.9,-70026.38281,-110716.0703,124.0,6.0,-70031.28125,-110716.6406,124.1
5,31,719,Nf,8.9,-70030.24147,-110718.804,-0.464,9.9,-70029.05469,-110718.4609,124.1,10.4,-70033.72656,-110719.2344,124.3
5,32,722,Nf,27.0,-70035.57608,-110724.8658,0.272,28.0,-70034.32031,-110724.5,124.7,28.1,-70038.48438,-110725.6016,124.7
5,33,721,Nf,17.7,-70034.5972,-110723.8581,0.118,17.6,-70033.32031,-110723.4531,124.6,15.2,-70037.5625,-110724.5078,124.7
5,34,723,Nf,13.9,-70031.12155,-110724.1005,0.038,15.1,-70029.88281,-110723.625,124.6,14.0,-70034.10938,-110724.4844,124.7
5,35,724,Nf,11.2,-70029.56039,-110723.25,-0.14,11.9,-70028.32812,-110722.7734,124.6,11.5,-70032.625,-110723.5781,124.6
5,36,725,Nf,8.8,-70029.02836,-110723.9808,-0.134,9.4,-70027.8125,-110723.4453,124.6,12.0,-70032.03125,-110724.1719,124.6
5,37,726,Nf,7.7,-70025.55334,-110724.9343,-0.154,9.9,-70024.15625,-110724.3047,124.6,9.2,-70028.46094,-110724.7813,124.6
5,38,730,Nf,25.6,-70024.43755,-110718.2811,-0.71,21.7,-70023.39844,-110717.6172,124.0,23.0,-70027.95312,-110718.0938,124.1
5,39,731,Nf,22.3,-70022.39293,-110716.7761,-0.745,21.7,-70021.4375,-110716.0156,123.5,23.0,-70026.08594,-110716.4063,124.0
