Category,Region,Year,Value,Area
Others,Gorj,2016,5200,Hectares
Others,Gorj,2017,5500,Hectares
Others,Gorj,2018,5500,Hectares
Others,Gorj,2019,5600,Hectares
Others,Valcea,1990,3500,Hectares
Others,Valcea,1991,3500,Hectares
Others,Valcea,1992,3300,Hectares
Others,Valcea,1993,3500,Hectares
Others,Valcea,1994,3200,Hectares
Others,Valcea,1995,3300,Hectares
Others,Valcea,1996,3400,Hectares
Others,Valcea,1997,3400,Hectares
Others,Valcea,1998,3200,Hectares
Others,Valcea,1999,3200,Hectares
Others,Valcea,2000,3300,Hectares
Others,Valcea,2001,3200,Hectares
Others,Valcea,2002,3900,Hectares
Others,Valcea,2003,4100,Hectares
Others,Valcea,2004,4200,Hectares
Others,Valcea,2005,5200,Hectares
Others,Valcea,2006,5000,Hectares
Others,Valcea,2007,5000,Hectares
Others,Valcea,2008,5000,Hectares
Others,Valcea,2009,5100,Hectares
Others,Valcea,2010,5100,Hectares
Others,Valcea,2011,5200,Hectares
Others,Valcea,2012,5200,Hectares
Others,Valcea,2013,5100,Hectares
Others,Valcea,2014,5300,Hectares
Others,Valcea,2015,5400,Hectares
Others,Valcea,2016,6800,Hectares
Others,Valcea,2017,6800,Hectares
Others,Valcea,2018,11100,Hectares
Others,Valcea,2019,11000,Hectares
Others,Caras-Severin,1990,7300,Hectares
Others,Caras-Severin,1991,7000,Hectares
Others,Caras-Severin,1992,7000,Hectares
Others,Caras-Severin,1993,6400,Hectares
Others,Caras-Severin,1994,5900,Hectares
Others,Caras-Severin,1995,6100,Hectares
Others,Caras-Severin,1996,6200,Hectares
Others,Caras-Severin,1997,6200,Hectares
Others,Caras-Severin,1998,6500,Hectares
Others,Caras-Severin,1999,6400,Hectares
Others,Caras-Severin,2000,6400,Hectares
Others,Caras-Severin,2001,6400,Hectares
Others,Caras-Severin,2002,6500,Hectares
Others,Caras-Severin,2003,6600,Hectares
Others,Caras-Severin,2004,6900,Hectares
Others,Caras-Severin,2005,6900,Hectares
Others,Caras-Severin,2006,7000,Hectares
Others,Caras-Severin,2007,7100,Hectares
Others,Caras-Severin,2008,7500,Hectares
Others,Caras-Severin,2009,7500,Hectares
Others,Caras-Severin,2010,7600,Hectares
Others,Caras-Severin,2011,7800,Hectares
Others,Caras-Severin,2012,7800,Hectares
Others,Caras-Severin,2013,7700,Hectares
Others,Caras-Severin,2014,7400,Hectares
Others,Caras-Severin,2015,7500,Hectares
Others,Caras-Severin,2016,7700,Hectares
Others,Caras-Severin,2017,7600,Hectares
Others,Caras-Severin,2018,7800,Hectares
Others,Caras-Severin,2019,8000,Hectares
Others,Hunedoara,1990,4900,Hectares
Others,Hunedoara,1991,4800,Hectares
Others,Hunedoara,1992,4800,Hectares
Others,Hunedoara,1993,4700,Hectares
Others,Hunedoara,1994,4500,Hectares
Others,Hunedoara,1995,4500,Hectares
Others,Hunedoara,1996,4600,Hectares
Others,Hunedoara,1997,4600,Hectares
Others,Hunedoara,1998,5000,Hectares
Others,Hunedoara,1999,5200,Hectares
Others,Hunedoara,2000,5300,Hectares
Others,Hunedoara,2001,5300,Hectares
Others,Hunedoara,2002,5400,Hectares
Others,Hunedoara,2003,5400,Hectares
Others,Hunedoara,2004,5400,Hectares
Others,Hunedoara,2005,5400,Hectares
Others,Hunedoara,2006,5400,Hectares
Others,Hunedoara,2007,5900,Hectares
Others,Hunedoara,2008,6000,Hectares
Others,Hunedoara,2009,5800,Hectares
Others,Hunedoara,2010,6000,Hectares
Others,Hunedoara,2011,6200,Hectares
Others,Hunedoara,2012,6100,Hectares
Others,Hunedoara,2013,6100,Hectares
Others,Hunedoara,2014,6200,Hectares
Others,Hunedoara,2015,6000,Hectares
Others,Hunedoara,2016,5400,Hectares
Others,Hunedoara,2017,5700,Hectares
Others,Hunedoara,2018,5500,Hectares
Others,Hunedoara,2019,5700,Hectares
